month,year,FG3_per_game,FG3A_per_game,FG3_PCT,AST_per_game,PTS_per_game,possessions_per_game_smooth,three_point_introduction,shortened_three_point_line,reverted_three_point_line,defensive_three_second_rule,curry_era,off_season
1952-10-01,1952,0.0,0.0,0.0,0.0,75.5,,0,0,0,0,0,1
1952-11-01,1952,0.0,0.0,0.0,4.4520547945205475,84.23972602739725,,0,0,0,0,0,0
1952-12-01,1952,0.0,0.0,0.0,4.198630136986301,82.9931506849315,36.89413444309577,0,0,0,0,0,0
1953-01-01,1953,0.0,0.0,0.0,4.094936708860759,82.19620253164557,35.64976024803665,0,0,0,0,0,0
1953-02-01,1953,0.0,0.0,0.0,3.923076923076923,81.51282051282051,32.67623235444919,0,0,0,0,0,0
1953-03-01,1953,0.0,0.0,0.0,2.641304347826087,81.59782608695652,47.47693157084462,0,0,0,0,0,0
1953-04-01,1953,0.0,0.0,0.0,3.142857142857143,79.07142857142857,48.385734989648036,0,0,0,0,0,0
1953-05-01,1953,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1953-06-01,1953,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1953-07-01,1953,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1953-08-01,1953,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1953-09-01,1953,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1953-10-01,1953,0.0,0.0,0.0,6.75,72.25,55.47014430014431,0,0,0,0,0,0
1953-11-01,1953,0.0,0.0,0.0,8.31060606060606,77.50757575757575,46.07564694564695,0,0,0,0,0,0
1953-12-01,1953,0.0,0.0,0.0,8.444444444444445,80.42063492063492,47.96934063934065,0,0,0,0,0,0
1954-01-01,1954,0.0,0.0,0.0,6.006756756756757,78.57432432432432,46.13544786544787,0,0,0,0,0,0
1954-02-01,1954,0.0,0.0,0.0,6.5,81.37179487179488,44.688992838992846,0,0,0,0,0,0
1954-03-01,1954,0.0,0.0,0.0,7.447368421052632,82.52631578947368,57.28418803418803,0,0,0,0,0,0
1954-04-01,1954,0.0,0.0,0.0,11.583333333333334,72.58333333333333,55.49355555555555,0,0,0,0,0,0
1954-05-01,1954,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1954-06-01,1954,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1954-07-01,1954,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1954-08-01,1954,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1954-09-01,1954,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1954-10-01,1954,0.0,0.0,0.0,6.7,90.0,59.26855555555556,0,0,0,0,0,0
1954-11-01,1954,0.0,0.0,0.0,9.7375,91.425,50.99030158730159,0,0,0,0,0,0
1954-12-01,1954,0.0,0.0,0.0,8.944444444444445,92.69047619047619,54.64589807852966,0,0,0,0,0,0
1955-01-01,1955,0.0,0.0,0.0,8.394736842105264,92.42763157894737,53.82526427571276,0,0,0,0,0,0
1955-02-01,1955,0.0,0.0,0.0,7.549295774647887,93.59154929577464,49.80806369851218,0,0,0,0,0,0
1955-03-01,1955,0.0,0.0,0.0,5.742424242424242,96.56060606060606,48.193356096173005,0,0,0,0,0,0
1955-04-01,1955,0.0,0.0,0.0,6.166666666666667,92.33333333333333,52.63145366710585,0,0,0,0,0,0
1955-05-01,1955,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1955-06-01,1955,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1955-07-01,1955,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1955-08-01,1955,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1955-09-01,1955,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1955-10-01,1955,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1955-11-01,1955,0.0,0.0,0.0,11.880434782608695,97.53260869565217,61.11039220502744,0,0,0,0,0,0
1955-12-01,1955,0.0,0.0,0.0,11.838983050847459,97.46610169491525,71.90202279665803,0,0,0,0,0,0
1956-01-01,1956,0.0,0.0,0.0,13.227272727272727,99.27272727272727,75.80127331425638,0,0,0,0,0,0
1956-02-01,1956,0.0,0.0,0.0,11.821428571428571,98.99285714285715,80.88612265512266,0,0,0,0,0,0
1956-03-01,1956,0.0,0.0,0.0,12.333333333333334,103.02777777777777,90.54226984126984,0,0,0,0,0,0
1956-04-01,1956,0.0,0.0,0.0,22.875,95.25,85.09055555555555,0,0,0,0,0,0
1956-05-01,1956,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1956-06-01,1956,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1956-07-01,1956,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1956-08-01,1956,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1956-09-01,1956,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1956-10-01,1956,0.0,0.0,0.0,7.083333333333333,94.33333333333333,80.7640606060606,0,0,0,0,0,0
1956-11-01,1956,0.0,0.0,0.0,7.609090909090909,94.87272727272727,68.60332614278377,0,0,0,0,0,0
1956-12-01,1956,0.0,0.0,0.0,8.64406779661017,100.55932203389831,69.1903737618314,0,0,0,0,0,0
1957-01-01,1957,0.0,0.0,0.0,8.021428571428572,99.85,67.0133719793002,0,0,0,0,0,0
1957-02-01,1957,0.0,0.0,0.0,6.080882352941177,102.66911764705883,68.60766199813258,0,0,0,0,0,0
1957-03-01,1957,0.0,0.0,0.0,6.283333333333333,100.01666666666667,88.03261437908498,0,0,0,0,0,0
1957-04-01,1957,0.0,0.0,0.0,17.5,111.0,84.63777777777779,0,0,0,0,0,0
1957-05-01,1957,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1957-06-01,1957,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1957-07-01,1957,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1957-08-01,1957,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1957-09-01,1957,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,1
1957-10-01,1957,0.0,0.0,0.0,2.5,104.44444444444444,85.53422222222223,0,0,0,0,0,0
1957-11-01,1957,0.0,0.0,0.0,7.455357142857143,103.94642857142857,67.45641577060933,0,0,0,0,0,0
1957-12-01,1957,0.0,0.0,0.0,7.451612903225806,109.83064516129032,73.73863799283156,0,0,0,0,0,0
